song_title,artist_names,artist_ids,song_id
They Like The Way I Grind,['Ninedo'],['7imkhqX2EFDDZWHRkgiFmQ'],0ANCHztA5PVGLJLeksOWKN
Poni,['BakaPrase'],['5fvFsysMiMhjG9shmyMQQG'],0APeRE3LioBmbWZ0wpftXc
Neymar,['Jan Blakeee'],['3r0kkjcXjHeym35lYmeEC6'],0AT5EEknqGViGTXbMHeiLF
Robot rock funk 4.0,['frandy_jory'],['4eVd76RDHnR30P6zAno3Nc'],0ATs3ztPYxWORdYxQEKlXM
INTERLUDE,['The Blaze'],['1Dt1UKLtrJIW1xxRBejjos'],0AV6NavKfgyIe7z8tU4sdy
Tô Fazendo Falta,"['Marcelinho De Lima', 'Léo Magalhães']","['7DRrTGEGV943S1FXmGfMsT', '4B0rppbJilYfZOPPEgpPtz']",0AY0VKXYePvPCcdV0EK6DI
Bora Bill ( Speed Up ),['neri´s'],['4xZLCFL4431VfYQAP7cffQ'],0AYpmDJgiWUZeFyNRQNYOL
"Over The Testament (From ""Shinmai Maou no Testament Burst"") [Opening]",['Fonzi M'],['6b7F9Fnlc9n8PvM3EEaMNB'],0AbhnXvDDeDulnJJUZdVPv
Circle Pit,"['PhaseOne', 'Virus Syndicate']","['0mO3Yf5XIPHfAbHh8yWLFk', '0NV5eY4Jzg4ldg2ikGnV4n']",0AezAopYKsnnJq6DMR0mKE
Tujhse Naraz Nahi Zindagi,['Sanam'],['7o7doCwqft91WC690aglWC'],0AfVDxWlOZxto1gccmPB2f
Vordhosbn,['Aphex Twin'],['6kBDZFXuLrZgHnvmPu9NsG'],0AjQvTAlYcWQ6JpJcUdsKw
Synda,"['Michael Maas', 'Clara Sorace']","['6nCIgcD7WM8HmbvptXECP9', '4IxbdaPCIZAHdMYFbAH4ae']",0AoEUwaeD7K1kEzYAF3Iin
Coral Chorus (Fortnite Hardstyle),['Anor'],['0hY8iQnP3F7s38i48LKmPR'],0B3iZagl2xa2CzyJjxtltZ
Goku Black Theme,['Friedrich Habetler'],['3VudC1DraV4LjIdLzpqQ80'],0B67Flf2AbG5kuiIb3aisO
rich nigga (feat. Key Glock),"['Toosii', 'Key Glock']","['6BH1xcDkwbbyrLMUKECsW1', '0RESbWvOMyua0yuyVrztJ5']",0BCZtfDUhV9QatqFCQKH3Q
Bahtiyar (UNUTTUNMU 4),['Bahtiyar CEBELİ'],['0PxebdaYL6pIC8gwjpbEtj'],0BHkBShHGMcthEUcLA296w
Last Minute,['Scooter'],['0HlxL5hisLf59ETEPM3cUA'],0BJoPlqfa14ok76KfD7kDm
افتكرني,['احمد صقر'],['4kBcwboDYjZaRSROlU8pde'],0BOP368DAHL7szlJcpSNjh
Res Publica,['Epic History TV'],['4qQNurPPbyDTM5CjiK7ALU'],0BOpkmtJ3uYYbsdDXS32DR
Breath Of Fire,['RXLZQ'],['5QB7PXqAX7JTfKMkAMk1aY'],0BUsPZJFxJgCtaLEmxiWns
Attack on Titan Theme - Epic Finale Version,['Samuel Kim'],['2bdcBjvuI9worc472GbeU0'],0BcInyThbR7odxa8WvicBi
Çakma Tatlıses,['Camfrog Sönmez'],['7E2SNfdXHUJ5fSMz4Kh1gN'],0BiuPz7D3eyJRFg6TwOR8f
"Bloody Stream (From ""JoJo's Bizarre Adventure"") [Opening 2] [Piano Arrangement]",['Fonzi M'],['6b7F9Fnlc9n8PvM3EEaMNB'],0BklzrvhmZ7OV0IAxPSd76
REVOLUTIONARY DAWN,['赤羽 大夢'],['0ppxynrWN3NZX8xpiTDqqE'],0BqKQaJviYsGH9maVif2iH
Remember Me - Coco - Lullaby Rendition,['Lullaby Dreamers'],['77e42t56XLhmbo0qBL2fkb'],0BwHyEIDBJ5BLT9K7PCmlk
Tonight May Have To Last Me All My Life - Edan Remix,"['The Avalanches', 'Edan']","['3C8RpaI3Go0yFF9whvKoED', '4LSixDzXl43EzlPU2EydWs']",0BwbJ0vwuhPOeLwATrFvqn
Исчезаю,['Lieless'],['3AVDMWWNOYjcp2mtGLdM9C'],0BybFIHpANp0dYoiQec8XZ
Cupid and Death: First Entry: Cupid: Curtain Music,"['Christopher Gibbons', 'Matthew Locke', 'Consort Of Musicke', 'Anthony Rooley']","['2vo6HEogJHhZqFg5EGXgU8', '0YWBrDPz84qSSiLgPxjfIo', '792HWopzvPacbFWQYJZVUA', '19l99CiXKRvs1wgXuxCpv6']",0Bz69MmZEPEIbAHWEGsr5R
Königgrätzer Marsch,['Die Marschmusikanten'],['18WcBYGp5xdfGf2JuAukJh'],0C10DHSTlXHswocILTXLbO
Apna Bana Le,['Rushi Mundhe'],['61KFdpkJcihO8EWlO5uLIn'],0C3kXgd59Em2YbzDIYlW2d
Stinky Britches,['Iron Sausage'],['75HbYsWtIusxWMXkfrWBTA'],0C6XfFIgIVUK1VvwUC0TDL
